fecha,banco,monto,valor
2026-04-29,Banco BISA,4479153,9.58
2026-04-29,Banco Económico,63866,9.45
2026-04-29,Banco FIE,1694071,9.59
2026-04-29,Banco Fortaleza,50,9.50
2026-04-29,Banco Ganadero,3785724,9.46
2026-04-29,Banco Mercantil Santa Cruz,1323007,9.63
2026-04-29,Banco Nacional de Bolivia,1063903,9.68
2026-04-29,Banco PYME Ecofuturo,141306,9.57
2026-04-29,Banco PYME de la Comunidad,2000,7.08
2026-04-29,Banco Solidario,1645854,9.68
2026-04-29,Banco Unión,4061900,9.69
2026-04-29,Banco de Crédito,359549,9.27
2026-04-30,Banco BISA,8602536,9.63
2026-04-30,Banco Económico,566761,9.65
2026-04-30,Banco FIE,2956121,9.72
2026-04-30,Banco Fortaleza,774638,9.61
2026-04-30,Banco Ganadero,10400013,9.69
2026-04-30,Banco Nacional de Bolivia,2273686,9.48
2026-04-30,Banco Solidario,1216817,9.66
2026-04-30,Banco Unión,8653577,9.89
2026-04-30,Banco de Crédito,1308474,9.45
2026-05-04,Banco BISA,9250693,9.77
2026-05-04,Banco Económico,2985548,9.82
2026-05-04,Banco FIE,549773,8.74
2026-05-04,Banco Fortaleza,91207,7.79
2026-05-04,Banco Ganadero,3776999,9.69
2026-05-04,Banco Mercantil Santa Cruz,2305526,9.45
2026-05-04,Banco Nacional de Bolivia,2717085,9.65
2026-05-04,Banco PYME de la Comunidad,217,7.00
2026-05-04,Banco Solidario,598170,9.82
2026-05-04,Banco Unión,17100519,9.99
2026-05-04,Banco de Crédito,1210887,9.27
2026-05-05,Banco BISA,7354563,10.00
2026-05-05,Banco Económico,2455733,9.87
2026-05-05,Banco Ganadero,6870870,9.83
2026-05-05,Banco Mercantil Santa Cruz,574136,8.91
2026-05-05,Banco Nacional de Bolivia,1422917,9.69
2026-05-05,Banco Solidario,2947202,9.80
2026-05-05,Banco Unión,1188,9.05
2026-05-05,Banco de Crédito,3518037,9.98
2026-05-06,Banco BISA,10789184,10.00
2026-05-06,Banco Económico,2904552,10.00
2026-05-06,Banco FIE,949565,9.91
2026-05-06,Banco Fortaleza,212107,10.60
2026-05-06,Banco Ganadero,5480893,9.74
2026-05-06,Banco Mercantil Santa Cruz,291553,9.45
2026-05-06,Banco Nacional de Bolivia,917013,9.50
2026-05-06,Banco Solidario,907915,10.05
2026-05-06,Banco Unión,7000088,10.30
2026-05-06,Banco de Crédito,1213662,9.84
2026-05-06,Banco de la Nación Argentina,45570,7.44
2026-05-07,Banco BISA,6278470,9.93
2026-05-07,Banco Económico,1510022,10.07
2026-05-07,Banco FIE,1874457,10.23
2026-05-07,Banco Ganadero,7286839,9.82
2026-05-07,Banco Mercantil Santa Cruz,3385746,10.07
2026-05-07,Banco Nacional de Bolivia,5356838,10.05
2026-05-07,Banco PYME Ecofuturo,566000,10.20
2026-05-07,Banco Solidario,5395752,10.25
2026-05-07,Banco Unión,100575,10.09
2026-05-07,Banco de Crédito,1898076,9.39
2026-05-08,Banco BISA,7155448,9.71
2026-05-08,Banco Económico,3714913,10.25
2026-05-08,Banco Fortaleza,518730,10.29
2026-05-08,Banco Ganadero,7494047,10.02
2026-05-08,Banco Mercantil Santa Cruz,3728279,9.84
2026-05-08,Banco Nacional de Bolivia,3368648,10.02
2026-05-08,Banco PYME Ecofuturo,150000,10.33
2026-05-08,Banco PYME de la Comunidad,300,7.00
2026-05-08,Banco Solidario,4931780,10.30
2026-05-08,Banco Unión,11805225,10.36
2026-05-08,Banco de Crédito,2827943,10.10
2026-05-08,Banco de la Nación Argentina,20170,7.58
2026-05-11,Banco BISA,1168092,9.79
2026-05-11,Banco Económico,2749198,10.20
2026-05-11,Banco FIE,103905,10.00
2026-05-11,Banco Ganadero,21239655,10.19
2026-05-11,Banco Mercantil Santa Cruz,5095585,10.03
2026-05-11,Banco Nacional de Bolivia,2037434,10.15
2026-05-11,Banco Solidario,2098189,10.20
2026-05-11,Banco Unión,177472,10.28
2026-05-11,Banco de Crédito,1489437,9.97
2026-05-11,Banco de la Nación Argentina,192183,9.37
2026-05-12,Banco BISA,28067100,10.14
2026-05-12,Banco Económico,1640426,10.17
2026-05-12,Banco FIE,12664,9.60
2026-05-12,Banco Fortaleza,711014,10.08
2026-05-12,Banco Ganadero,6243914,10.06
2026-05-12,Banco Mercantil Santa Cruz,4859908,10.19
2026-05-12,Banco Nacional de Bolivia,5466012,10.02
2026-05-12,Banco Solidario,1079800,10.21
2026-05-12,Banco Unión,15052609,10.40
2026-05-12,Banco de Crédito,3059445,10.04
2026-05-13,Banco BISA,4605380,10.06
2026-05-13,Banco Económico,69738,9.97
2026-05-13,Banco FIE,629975,10.13
2026-05-13,Banco Fortaleza,910259,10.13
2026-05-13,Banco Ganadero,8422167,10.12
2026-05-13,Banco Mercantil Santa Cruz,9521703,10.17
2026-05-13,Banco Nacional de Bolivia,7875071,10.06
2026-05-13,Banco Solidario,26957,9.72
2026-05-13,Banco Unión,488290,10.32
2026-05-13,Banco de Crédito,6686422,9.69
2026-05-14,Banco BISA,13278114,10.09
2026-05-14,Banco Económico,24058,9.92
2026-05-14,Banco FIE,3429980,10.15
2026-05-14,Banco Fortaleza,214507,10.12
2026-05-14,Banco Ganadero,2639087,9.88
2026-05-14,Banco Mercantil Santa Cruz,3815973,10.14
2026-05-14,Banco Nacional de Bolivia,3953444,10.19
2026-05-14,Banco Solidario,558039,10.20
2026-05-14,Banco Unión,3394156,10.20
2026-05-14,Banco de Crédito,5327209,10.13
2026-05-14,Banco de la Nación Argentina,33969,9.87
2026-05-15,Banco BISA,2710026,10.02
2026-05-15,Banco Económico,660041,10.01
2026-05-15,Banco FIE,200000,7.55
2026-05-15,Banco Fortaleza,682957,10.03
2026-05-15,Banco Ganadero,17473539,10.09
2026-05-15,Banco Mercantil Santa Cruz,1422116,9.87
2026-05-15,Banco Nacional de Bolivia,2196003,9.99
2026-05-15,Banco Solidario,5395,7.55
2026-05-15,Banco Unión,9197,9.94
2026-05-15,Banco de Crédito,1332080,10.01
2026-05-18,Banco BISA,2879373,9.96
2026-05-18,Banco Económico,683479,10.01
2026-05-18,Banco Fortaleza,637109,10.17
2026-05-18,Banco Ganadero,5731374,10.02
2026-05-18,Banco Mercantil Santa Cruz,1506614,10.03
2026-05-18,Banco Nacional de Bolivia,1627987,9.87
2026-05-18,Banco Solidario,104153,9.68
2026-05-18,Banco Unión,3562,10.08
2026-05-18,Banco de Crédito,2490622,9.46
2026-05-18,Banco de la Nación Argentina,59975,10.00
2026-05-19,Banco BISA,4256818,9.99
2026-05-19,Banco Económico,4825981,10.02
2026-05-19,Banco Fortaleza,1201410,10.10
2026-05-19,Banco Ganadero,6094892,10.01
2026-05-19,Banco Mercantil Santa Cruz,3761753,9.95
2026-05-19,Banco Nacional de Bolivia,2229146,9.58
2026-05-19,Banco PYME de la Comunidad,1000,7.00
2026-05-19,Banco Solidario,311607,9.99
2026-05-19,Banco Unión,3916057,10.00
2026-05-19,Banco de Crédito,3814799,10.07
2026-05-20,Banco BISA,4885733,10.02
2026-05-20,Banco Económico,260335,9.86
2026-05-20,Banco Ganadero,1296022,9.67
2026-05-20,Banco Mercantil Santa Cruz,7315426,10.05
2026-05-20,Banco Nacional de Bolivia,3577094,9.90
2026-05-20,Banco Solidario,2005,9.80
2026-05-20,Banco Unión,43540,9.97
2026-05-20,Banco de Crédito,1572742,9.92
2026-05-21,Banco BISA,8518942,10.00
2026-05-21,Banco Económico,96876,9.91
2026-05-21,Banco FIE,15985,9.30
2026-05-21,Banco Fortaleza,1564933,9.80
2026-05-21,Banco Ganadero,6556016,9.88
2026-05-21,Banco Mercantil Santa Cruz,9350301,9.94
2026-05-21,Banco Nacional de Bolivia,4406816,9.75
2026-05-21,Banco PYME de la Comunidad,197,7.00
2026-05-21,Banco Solidario,10671,8.14
2026-05-21,Banco Unión,3793382,9.98
2026-05-21,Banco de Crédito,3288916,10.01
2026-05-22,Banco BISA,13093306,9.99
2026-05-22,Banco Económico,302687,9.93
2026-05-22,Banco FIE,200000,7.55
2026-05-22,Banco Fortaleza,250000,9.95
2026-05-22,Banco Ganadero,9027655,9.96
2026-05-22,Banco Mercantil Santa Cruz,813480,9.74
2026-05-22,Banco Nacional de Bolivia,489433,9.05
2026-05-22,Banco Solidario,33741,9.81
2026-05-22,Banco Unión,39618,9.96
2026-05-22,Banco de Crédito,3385973,9.97
2026-05-22,Banco de la Nación Argentina,21370,9.85
2026-05-25,Banco BISA,1844848,9.94
2026-05-25,Banco Económico,3077494,9.96
2026-05-25,Banco FIE,249920,10.00
2026-05-25,Banco Fortaleza,322415,9.90
2026-05-25,Banco Ganadero,6575053,9.94
2026-05-25,Banco Mercantil Santa Cruz,1678605,9.78
2026-05-25,Banco Nacional de Bolivia,2384535,9.89
2026-05-25,Banco PYME Ecofuturo,300000,10.00
2026-05-25,Banco Solidario,41572,9.40
2026-05-25,Banco Unión,313526,9.92
2026-05-25,Banco de Crédito,286783,9.87
2026-05-26,Banco BISA,1010124,9.87
2026-05-26,Banco Económico,670814,9.84
2026-05-26,Banco FIE,1513768,9.91
2026-05-26,Banco Fortaleza,27466,9.48
2026-05-26,Banco Ganadero,5053169,9.97
2026-05-26,Banco Mercantil Santa Cruz,4013361,9.89
2026-05-26,Banco Nacional de Bolivia,3310452,9.85
2026-05-26,Banco Solidario,3048355,9.98
2026-05-26,Banco Unión,3702029,9.94
2026-05-26,Banco de Crédito,3859516,9.81
2026-05-26,Banco de la Nación Argentina,199975,9.40
2026-05-27,Banco BISA,1743891,9.84
2026-05-27,Banco Fortaleza,11975,9.50
2026-05-27,Banco Ganadero,9015848,9.87
2026-05-27,Banco Mercantil Santa Cruz,873079,9.91
2026-05-27,Banco Nacional de Bolivia,3554620,9.98
2026-05-27,Banco PYME Ecofuturo,220550,9.94
2026-05-27,Banco Solidario,688433,9.91
2026-05-27,Banco Unión,459,9.29
2026-05-27,Banco de Crédito,2208584,9.90
2026-05-28,Banco BISA,10774293,9.95
2026-05-28,Banco Económico,1631351,9.93
2026-05-28,Banco FIE,114975,9.72
