fecha,total,top_5
2026-08-04T12:00:00-04:00,1033229.257,276862.730
2026-08-04T18:00:00-04:00,1291475.307,313820.740
2026-08-05T00:00:00-04:00,643703.350,210785.440
2026-08-05T06:00:00-04:00,1121345.970,331464.373
2026-08-05T12:00:00-04:00,1025805.308,272554.878
2026-08-05T18:00:00-04:00,967892.747,187234.910
2026-08-06T00:00:00-04:00,421903.920,100646.625
2026-08-06T06:00:00-04:00,529348.653,129223.973
2026-08-06T18:00:00-04:00,668700.680,162081.070
2026-08-07T00:00:00-04:00,362617.412,117409.623
2026-08-07T06:00:00-04:00,765479.352,283742.930
2026-08-07T12:00:00-04:00,1015466.288,322894.713
2026-08-07T18:00:00-04:00,1127070.696,322036.624
2026-08-08T00:00:00-04:00,937696.012,325232.690
2026-08-08T06:00:00-04:00,1145464.378,332094.762
2026-08-08T12:00:00-04:00,952138.672,334076.753
2026-08-08T18:00:00-04:00,836331.160,393881.428
2026-08-09T00:00:00-04:00,322705.668,154784.813
2026-08-09T06:00:00-04:00,508520.411,242710.384
2026-08-09T12:00:00-04:00,517954.568,151797.591
2026-08-09T18:00:00-04:00,475367.075,156602.658
2026-08-10T00:00:00-04:00,239516.390,112525.160
2026-08-10T06:00:00-04:00,905383.010,317266.744
2026-08-10T12:00:00-04:00,847736.427,253474.660
2026-08-10T18:00:00-04:00,709184.202,238443.152
2026-08-11T00:00:00-04:00,369007.268,223055.270
2026-08-11T06:00:00-04:00,637950.082,247745.908
2026-08-11T12:00:00-04:00,956455.687,207484.200
2026-08-11T18:00:00-04:00,975181.415,235833.057
2026-08-12T00:00:00-04:00,390914.522,134945.745
2026-08-12T06:00:00-04:00,765366.770,201952.632
2026-08-12T12:00:00-04:00,913318.625,234963.908
2026-08-12T18:00:00-04:00,927955.620,272634.972
2026-08-13T00:00:00-04:00,497809.580,239220.690
2026-08-13T06:00:00-04:00,905292.958,271727.478
2026-08-13T12:00:00-04:00,734782.026,240163.870
2026-08-13T18:00:00-04:00,451599.448,144613.445
2026-08-14T00:00:00-04:00,314814.052,112386.120
2026-08-14T06:00:00-04:00,641064.096,197657.182
2026-08-14T12:00:00-04:00,774293.932,145390.050
2026-08-14T18:00:00-04:00,700831.601,116707.466
2026-08-15T00:00:00-04:00,488397.917,116791.346
2026-08-15T06:00:00-04:00,543228.035,118498.064
2026-08-15T16:09:39-04:00,705199.470,164365.070
