fecha,division,mensual,12_m
2023-02-01,Bienes y servicios diversos,0.115,3.294
2023-02-01,Comunicaciones,-0.224,-1.988
2023-02-01,Educación,0.373,1.370
2023-02-01,"Muebles, bienes y servicios domésticos",0.016,4.325
2023-02-01,Prendas de vestir y calzado,-0.138,0.990
2023-02-01,Recreación y cultura,1.293,1.147
2023-02-01,Salud,0.075,0.626
2023-02-01,Transporte,-0.678,2.027
2023-02-01,Vivienda y servicios básicos,0.017,1.091
2023-03-01,Alimentos y bebidas consumidos fuera del hogar,-0.017,2.665
2023-03-01,Alimentos y bebidas no alcohólicas,-0.263,4.968
2023-03-01,Bebidas alcohólicas y tabaco,-0.362,-0.483
2023-03-01,Bienes y servicios diversos,0.114,3.031
2023-03-01,Comunicaciones,0.325,-1.848
2023-03-01,Educación,0.112,1.501
2023-03-01,"Muebles, bienes y servicios domésticos",0.112,3.639
2023-03-01,Prendas de vestir y calzado,0.084,1.125
2023-03-01,Recreación y cultura,0.082,1.149
2023-03-01,Salud,0.410,0.975
2023-03-01,Transporte,-0.782,1.316
2023-03-01,Vivienda y servicios básicos,0.112,1.178
2023-04-01,Alimentos y bebidas consumidos fuera del hogar,0.105,2.743
2023-04-01,Alimentos y bebidas no alcohólicas,0.395,5.658
2023-04-01,Bebidas alcohólicas y tabaco,-0.282,-0.228
2023-04-01,Bienes y servicios diversos,-0.011,2.602
2023-04-01,Comunicaciones,0.315,-1.458
2023-04-01,Educación,-0.024,1.455
2023-04-01,"Muebles, bienes y servicios domésticos",0.231,3.397
2023-04-01,Prendas de vestir y calzado,0.075,0.999
2023-04-01,Recreación y cultura,-0.090,1.006
2023-04-01,Salud,-0.058,0.907
2023-04-01,Transporte,0.402,1.478
2023-04-01,Vivienda y servicios básicos,0.020,1.153
2023-05-01,Alimentos y bebidas consumidos fuera del hogar,0.142,2.748
2023-05-01,Alimentos y bebidas no alcohólicas,1.669,6.131
2023-05-01,Bebidas alcohólicas y tabaco,0.291,0.007
2023-05-01,Bienes y servicios diversos,0.430,2.807
2023-05-01,Comunicaciones,0.047,-1.039
2023-05-01,Educación,0.004,1.495
2023-05-01,"Muebles, bienes y servicios domésticos",0.427,3.578
2023-05-01,Prendas de vestir y calzado,0.437,1.215
2023-05-01,Recreación y cultura,0.170,1.394
2023-05-01,Salud,0.209,0.855
2023-05-01,Transporte,-0.581,1.101
2023-05-01,Vivienda y servicios básicos,0.472,1.282
2023-06-01,Alimentos y bebidas consumidos fuera del hogar,0.164,2.669
2023-06-01,Alimentos y bebidas no alcohólicas,0.331,5.289
2023-06-01,Bebidas alcohólicas y tabaco,0.051,-0.094
2023-06-01,Bienes y servicios diversos,0.356,2.836
2023-06-01,Comunicaciones,-0.140,-0.818
2023-06-01,Educación,0.043,1.507
2023-06-01,"Muebles, bienes y servicios domésticos",0.797,4.156
2023-06-01,Prendas de vestir y calzado,0.151,1.232
2023-06-01,Recreación y cultura,-0.196,1.243
2023-06-01,Salud,0.406,1.101
2023-06-01,Transporte,0.110,1.143
2023-06-01,Vivienda y servicios básicos,0.103,1.324
2023-07-01,Alimentos y bebidas consumidos fuera del hogar,0.147,2.519
2023-07-01,Alimentos y bebidas no alcohólicas,0.512,5.190
2023-07-01,Bebidas alcohólicas y tabaco,0.411,0.725
2023-07-01,Bienes y servicios diversos,0.259,2.799
2023-07-01,Comunicaciones,-0.103,-0.224
2023-07-01,Educación,-0.102,1.378
2023-07-01,"Muebles, bienes y servicios domésticos",-0.146,2.890
2023-07-01,Prendas de vestir y calzado,0.184,1.269
2023-07-01,Recreación y cultura,0.297,1.751
2023-07-01,Salud,0.172,1.298
2023-07-01,Transporte,1.714,1.394
2023-07-01,Vivienda y servicios básicos,0.129,1.403
2023-08-01,Alimentos y bebidas consumidos fuera del hogar,0.149,2.548
2023-08-01,Alimentos y bebidas no alcohólicas,1.234,6.296
2023-08-01,Bebidas alcohólicas y tabaco,-0.191,0.137
2023-08-01,Bienes y servicios diversos,0.130,2.896
2023-08-01,Comunicaciones,-0.186,-0.339
2023-08-01,Educación,0.111,1.062
2023-08-01,"Muebles, bienes y servicios domésticos",0.082,2.569
2023-08-01,Prendas de vestir y calzado,-0.124,1.164
2023-08-01,Recreación y cultura,-0.050,1.773
2023-08-01,Salud,0.069,1.566
2023-08-01,Transporte,0.184,2.421
2023-08-01,Vivienda y servicios básicos,0.062,1.308
2023-09-01,Alimentos y bebidas consumidos fuera del hogar,0.115,2.603
