departamento,fecha,componente,inflacion_28d
santa_cruz,2024-09-04,Abarrotes,3.804
santa_cruz,2024-09-04,Bazar,5.643
santa_cruz,2024-09-04,Bebidas,0.749
santa_cruz,2024-09-04,Carnes,0.342
santa_cruz,2024-09-04,Compuesto,2.247
santa_cruz,2024-09-04,Congelados,2.602
santa_cruz,2024-09-04,Cuidado Personal,3.772
santa_cruz,2024-09-04,Cuidado del Bebé,7.912
santa_cruz,2024-09-04,Cuidado del Hogar,2.614
santa_cruz,2024-09-04,Farmacia Otc,0.000
santa_cruz,2024-09-04,Fiambres,2.096
santa_cruz,2024-09-04,Frutas y Verduras,0.416
santa_cruz,2024-09-04,Granos y Hortalizas,0.060
santa_cruz,2024-09-04,Lácteos y Derivados,0.362
santa_cruz,2024-09-04,Panadería,1.198
santa_cruz,2024-09-04,Pastelería y Masas Típicas,0.856
cochabamba,2024-09-05,Abarrotes,4.662
cochabamba,2024-09-05,Bazar,10.774
cochabamba,2024-09-05,Bebidas,2.608
cochabamba,2024-09-05,Carnes,-0.262
cochabamba,2024-09-05,Compuesto,2.491
cochabamba,2024-09-05,Congelados,1.274
cochabamba,2024-09-05,Cuidado Personal,4.500
cochabamba,2024-09-05,Cuidado del Bebé,10.451
cochabamba,2024-09-05,Cuidado del Hogar,2.593
cochabamba,2024-09-05,Fiambres,2.078
cochabamba,2024-09-05,Frutas y Verduras,-0.487
cochabamba,2024-09-05,Granos y Hortalizas,0.150
cochabamba,2024-09-05,Lácteos y Derivados,0.898
cochabamba,2024-09-05,Panadería,1.236
cochabamba,2024-09-05,Pastelería y Masas Típicas,0.469
la_paz,2024-09-05,Abarrotes,4.399
la_paz,2024-09-05,Bazar,11.056
la_paz,2024-09-05,Bebidas,2.068
la_paz,2024-09-05,Carnes,-1.165
la_paz,2024-09-05,Compuesto,2.824
la_paz,2024-09-05,Congelados,1.081
la_paz,2024-09-05,Cuidado Personal,6.164
la_paz,2024-09-05,Cuidado del Bebé,9.676
la_paz,2024-09-05,Cuidado del Hogar,3.486
la_paz,2024-09-05,Fiambres,2.780
la_paz,2024-09-05,Frutas y Verduras,-2.317
la_paz,2024-09-05,Granos y Hortalizas,0.254
la_paz,2024-09-05,Lácteos y Derivados,1.268
la_paz,2024-09-05,Panadería,0.967
la_paz,2024-09-05,Pastelería y Masas Típicas,0.947
santa_cruz,2024-09-05,Abarrotes,4.617
santa_cruz,2024-09-05,Bazar,5.643
santa_cruz,2024-09-05,Bebidas,0.895
santa_cruz,2024-09-05,Carnes,0.333
santa_cruz,2024-09-05,Compuesto,2.785
santa_cruz,2024-09-05,Congelados,5.654
santa_cruz,2024-09-05,Cuidado Personal,4.149
santa_cruz,2024-09-05,Cuidado del Bebé,7.893
santa_cruz,2024-09-05,Cuidado del Hogar,3.020
santa_cruz,2024-09-05,Farmacia Otc,0.000
santa_cruz,2024-09-05,Fiambres,2.072
santa_cruz,2024-09-05,Frutas y Verduras,0.083
santa_cruz,2024-09-05,Granos y Hortalizas,0.060
santa_cruz,2024-09-05,Lácteos y Derivados,0.962
santa_cruz,2024-09-05,Panadería,1.198
santa_cruz,2024-09-05,Pastelería y Masas Típicas,0.853
cochabamba,2024-09-06,Abarrotes,3.890
cochabamba,2024-09-06,Bazar,1.078
cochabamba,2024-09-06,Bebidas,2.585
cochabamba,2024-09-06,Carnes,-0.951
cochabamba,2024-09-06,Compuesto,1.987
cochabamba,2024-09-06,Congelados,1.274
cochabamba,2024-09-06,Cuidado Personal,4.360
cochabamba,2024-09-06,Cuidado del Bebé,10.179
cochabamba,2024-09-06,Cuidado del Hogar,2.169
cochabamba,2024-09-06,Fiambres,2.078
cochabamba,2024-09-06,Frutas y Verduras,-0.442
cochabamba,2024-09-06,Granos y Hortalizas,0.150
cochabamba,2024-09-06,Lácteos y Derivados,0.901
cochabamba,2024-09-06,Panadería,1.236
cochabamba,2024-09-06,Pastelería y Masas Típicas,0.469
la_paz,2024-09-06,Abarrotes,3.552
la_paz,2024-09-06,Bazar,1.053
la_paz,2024-09-06,Bebidas,2.056
la_paz,2024-09-06,Carnes,-2.485
la_paz,2024-09-06,Compuesto,1.884
la_paz,2024-09-06,Congelados,1.081
la_paz,2024-09-06,Cuidado Personal,5.652
la_paz,2024-09-06,Cuidado del Bebé,9.191
la_paz,2024-09-06,Cuidado del Hogar,3.123
la_paz,2024-09-06,Fiambres,2.780
la_paz,2024-09-06,Frutas y Verduras,-2.929
la_paz,2024-09-06,Granos y Hortalizas,-0.398
la_paz,2024-09-06,Lácteos y Derivados,1.229
la_paz,2024-09-06,Panadería,0.967
la_paz,2024-09-06,Pastelería y Masas Típicas,0.948
santa_cruz,2024-09-06,Abarrotes,4.399
santa_cruz,2024-09-06,Bazar,5.145
santa_cruz,2024-09-06,Bebidas,1.250
santa_cruz,2024-09-06,Carnes,0.446
santa_cruz,2024-09-06,Compuesto,2.833
santa_cruz,2024-09-06,Congelados,5.801
santa_cruz,2024-09-06,Cuidado Personal,4.083
santa_cruz,2024-09-06,Cuidado del Bebé,7.720
santa_cruz,2024-09-06,Cuidado del Hogar,2.997
santa_cruz,2024-09-06,Farmacia Otc,0.000
santa_cruz,2024-09-06,Fiambres,2.665
santa_cruz,2024-09-06,Frutas y Verduras,0.131
santa_cruz,2024-09-06,Granos y Hortalizas,0.060
santa_cruz,2024-09-06,Lácteos y Derivados,1.128
santa_cruz,2024-09-06,Panadería,1.195
santa_cruz,2024-09-06,Pastelería y Masas Típicas,0.853
cochabamba,2024-09-07,Abarrotes,3.708
cochabamba,2024-09-07,Bazar,1.078
cochabamba,2024-09-07,Bebidas,2.576
cochabamba,2024-09-07,Carnes,-1.028
cochabamba,2024-09-07,Compuesto,1.825
